Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,807.8499755859375,844.0,802.7000122070312,823.6500244140625,823.6500244140625,23725308
2021-08-09,828.75,857.7999877929688,812.6500244140625,846.2999877929688,846.2999877929688,11320092
2021-08-10,847.9500122070312,866.0,830.5999755859375,843.6500244140625,843.6500244140625,8084425
2021-08-11,847.4500122070312,862.7000122070312,836.0,859.8499755859375,859.8499755859375,4877031
2021-08-12,863.9000244140625,886.4000244140625,860.1500244140625,875.8499755859375,875.8499755859375,5941940
2021-08-13,880.3499755859375,887.7999877929688,876.0,879.0,879.0,2918639
2021-08-16,880.7000122070312,891.9000244140625,866.0,871.5499877929688,871.5499877929688,2605354
2021-08-17,874.4000244140625,886.9000244140625,858.5499877929688,865.3499755859375,865.3499755859375,2826322
2021-08-18,870.0,873.0,855.0499877929688,859.5499877929688,859.5499877929688,1790409
2021-08-20,854.0,865.0,831.0499877929688,839.3499755859375,839.3499755859375,1839507
2021-08-23,845.0,853.0,814.5,822.25,822.25,2025363
2021-08-24,826.0,837.9000244140625,821.2000122070312,829.8499755859375,829.8499755859375,1759753
2021-08-25,833.5,836.0,820.0,822.0999755859375,822.0999755859375,1298473
2021-08-26,818.0999755859375,834.4500122070312,818.0999755859375,826.5999755859375,826.5999755859375,2292653
2021-08-27,830.5,842.3499755859375,825.9000244140625,829.0,829.0,2867557
2021-08-30,833.6500244140625,840.0,832.0,834.4000244140625,834.4000244140625,1552884
2021-08-31,837.9000244140625,860.7999877929688,836.6500244140625,844.6500244140625,844.6500244140625,4538227
2021-09-01,848.75,853.9000244140625,834.0,840.7000122070312,840.7000122070312,1752608
2021-09-02,843.6500244140625,853.25,841.0499877929688,846.5,846.5,1487639
2021-09-03,850.0,853.9000244140625,835.0,841.0,841.0,1532492
2021-09-06,843.0,846.4000244140625,836.25,839.2000122070312,839.2000122070312,864668
2021-09-07,842.0,844.0,820.1500244140625,823.0499877929688,823.0499877929688,1359443
2021-09-08,825.0,835.5,813.25,832.2999877929688,832.2999877929688,1726690
2021-09-09,834.7999877929688,834.7999877929688,821.2999877929688,829.25,829.25,831574
2021-09-13,829.0,842.7000122070312,827.1500244140625,837.2999877929688,837.2999877929688,1639671
2021-09-14,839.0,842.7999877929688,830.9000244140625,835.75,835.75,819659
2021-09-15,836.0,862.0,835.9000244140625,858.7999877929688,858.7999877929688,3384102
2021-09-16,865.0999755859375,879.75,863.5499877929688,865.4000244140625,865.4000244140625,4899479
2021-09-17,868.7999877929688,869.8499755859375,840.2999877929688,844.5,844.5,2025904
2021-09-20,840.0,840.0,795.5,799.75,799.75,2678451
2021-09-21,799.7999877929688,809.8499755859375,780.0499877929688,801.9500122070312,801.9500122070312,2838627
2021-09-22,805.2999877929688,828.7000122070312,802.25,825.2999877929688,825.2999877929688,3326873
2021-09-23,832.75,856.0,827.5499877929688,847.1500244140625,847.1500244140625,3624791
2021-09-24,851.9000244140625,901.7000122070312,851.25,884.9500122070312,884.9500122070312,11074121
2021-09-27,900.0,928.7000122070312,895.0,914.75,914.75,7817188
2021-09-28,919.75,926.7000122070312,900.7999877929688,906.4000244140625,906.4000244140625,2952084
2021-09-29,905.0,937.5999755859375,895.2000122070312,933.0999755859375,933.0999755859375,3724758
2021-09-30,940.8499755859375,945.5,915.4000244140625,919.2999877929688,919.2999877929688,3823155
